Gene_symbol	Description
A1BG	alpha-1-B glycoprotein
A2M	alpha-2-macroglobulin
A2MP	alpha-2-macroglobulin pseudogene
AA	atrophia areata, peripapillary chorioretinal degeneration
AAAS	achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)
AACP	arylamide acetylase pseudogene
AADAC	arylacetamide deacetylase (esterase)
AAMP	angio-associated, migratory cell protein
AANAT	arylalkylamine N-acetyltransferase
AARS	alanyl-tRNA synthetase
AATK	apoptosis-associated tyrosine kinase
AAVS1	adeno-associated virus integration site 1
ABAT	4-aminobutyrate aminotransferase
ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1
ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10
ABCA11	ATP-binding cassette, sub-family A (ABC1), member 11
ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2
ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3
ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4
ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5
ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6
ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7
ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8
ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9
ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10
ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11
ABCB2	ATP-binding cassette, sub-family B (MDR/TAP), member 2
ABCB3	ATP-binding cassette, sub-family B (MDR/TAP), member 3
ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4
ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5
ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6
ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7
ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8
ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9
ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10
ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4
ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5
ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6
ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
ABCD1	ATP-binding cassette, sub-family D (ALD), member 1
ABCD1P1	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1
ABCD1P2	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2
ABCD1P3	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3
ABCD1P4	ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4
ABCD2	ATP-binding cassette, sub-family D (ALD), member 2
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3
ABCD4	ATP-binding cassette, sub-family D (ALD), member 4
ABCE1	ATP-binding cassette, sub-family E (OABP), member 1
ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1
ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2
ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3
ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1
ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2
ABCG3	ATP-binding cassette, sub-family G (WHITE), member 3
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1
ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)
ABLIM	actin binding LIM protein
ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
ABP1	amiloride binding protein 1 (amine oxidase (copper-containing))
ABR	active BCR-related gene
ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)
ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
ACACA	acetyl-Coenzyme A carboxylase alpha
ACACB	acetyl-Coenzyme A carboxylase beta
ACAD8	acyl-Coenzyme A dehydrogenase family, member 8
ACADL	acyl-Coenzyme A dehydrogenase, long chain
ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain
ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain
ACADSB	acyl-Coenzyme A dehydrogenase, short/branched chain
ACADVL	acyl-Coenzyme A dehydrogenase, very long chain
ACAT1	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)
ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)
ACATN	acetyl-Coenzyme A transporter
ACCN1	amiloride-sensitive cation channel 1, neuronal (degenerin)
ACCN2	amiloride-sensitive cation channel 2, neuronal
ACCN3	amiloride-sensitive cation channel 3, testis
ACDP1	ancient conserved domain protein 1
ACDP2	ancient conserved domain protein 2
ACDP3	ancient conserved domain protein 3
ACDP4	ancient conserved domain protein 4
ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
ACE2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
ACHAP	acetylcholinesterase-associated protein
ACHE	acetylcholinesterase (YT blood group)
ACHM1	achromatopsia (rod monochromacy) 1
ACHM3	achromatopsia (rod monochromacy) 3
ACLS	acrocallosal syndrome
ACLY	ATP citrate lyase
ACO1	aconitase 1, soluble
ACO2	aconitase 2, mitochondrial
ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl
ACOX2	acyl-Coenzyme A oxidase 2, branched chain
ACOX3	acyl-Coenzyme A oxidase 3, pristanoyl
ACP1	acid phosphatase 1, soluble
ACP2	acid phosphatase 2, lysosomal
ACP5	acid phosphatase 5, tartrate resistant
ACPP	acid phosphatase, prostate
ACR	acrosin
ACRV1	acrosomal vesicle protein 1
ACTA1	actin, alpha 1, skeletal muscle
ACTA2	actin, alpha 2, smooth muscle, aorta
ACTB	actin, beta
ACTBL1	actin, beta-like 1
ACTBP1	actin, beta pseudogene 1
ACTBP2	actin, beta pseudogene 2
ACTBP3	actin, beta pseudogene 3
ACTBP4	actin, beta pseudogene 4
ACTBP5	actin, beta pseudogene 5
ACTBP6	actin, beta pseudogene 6
ACTBP7	actin, beta pseudogene 7
ACTBP8	actin, beta pseudogene 8
ACTBP9	actin, beta pseudogene 9
ACTC	actin, alpha, cardiac muscle
ACTG1	actin, gamma 1
ACTG2	actin, gamma 2, smooth muscle, enteric
ACTGP1	actin, gamma pseudogene 1
ACTGP2	actin, gamma pseudogene 2
ACTGP3	actin, gamma pseudogene 3
ACTGP4	actin, gamma pseudogene 4
ACTGP5	actin, gamma pseudogene 5
ACTGP6	actin, gamma pseudogene 6
ACTGP7	actin, gamma pseudogene 7
ACTGP8	actin, gamma pseudogene 8
ACTGP9	actin, gamma pseudogene 9
ACTL1	actin-like 1
ACTL4	actin-like 4
ACTL5	actin-like 5
ACTL6	actin-like 6
ACTL7A	actin-like 7A
ACTL7B	actin-like 7B
ACTN1	actinin, alpha 1
ACTN2	actinin, alpha 2
ACTN3	actinin, alpha 3
ACTN4	actinin, alpha 4
ACTR1A	ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha)
ACTR1B	ARP1 (actin-related protein 1, yeast) homolog B (centractin beta)
ACTR2	ARP2 (actin-related protein 2, yeast) homolog
ACTR3	ARP3 (actin-related protein 3, yeast) homolog
ACVR1	activin A receptor, type I
ACVR1B	activin A receptor, type IB
ACVR2	activin A receptor, type II
ACVR2B	activin A receptor, type IIB
ACVRL1	activin A receptor type II-like 1
ACY1	aminoacylase 1
ACY1L	aminoacylase 1-like
ACYP1	acylphosphatase 1, erythrocyte (common) type
ACYP2	acylphosphatase 2, muscle type
AD2	Alzheimer disease 2 (APOE*E4-associated, late onset)
AD5	Alzheimer disease 5
ADA	adenosine deaminase
ADAM1	a disintegrin and metalloproteinase domain 1 (fertilin alpha) pseudogene
ADAM10	a disintegrin and metalloproteinase domain 10
ADAM11	a disintegrin and metalloproteinase domain 11
ADAM12	a disintegrin and metalloproteinase domain 12 (meltrin alpha)
ADAM13	a disintegrin and metalloproteinase domain 13
ADAM14	a disintegrin and metalloproteinase domain 14
ADAM15	a disintegrin and metalloproteinase domain 15 (metargidin)
ADAM16	a disintegrin and metalloproteinase domain 16
ADAM17	a disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme)
ADAM18	a disintegrin and metalloproteinase domain 18
ADAM19	a disintegrin and metalloproteinase domain 19 (meltrin beta)
ADAM2	a disintegrin and metalloproteinase domain 2 (fertilin beta)
ADAM20	a disintegrin and metalloproteinase domain 20
ADAM21	a disintegrin and metalloproteinase domain 21
ADAM22	a disintegrin and metalloproteinase domain 22
ADAM23	a disintegrin and metalloproteinase domain 23
ADAM24	a disintegrin and metalloproteinase domain 24
ADAM25	a disintegrin and metalloproteinase domain 25
ADAM26	a disintegrin and metalloproteinase domain 26
ADAM28	a disintegrin and metalloproteinase domain 28
ADAM29	a disintegrin and metalloproteinase domain 29
ADAM30	a disintegrin and metalloproteinase domain 30
ADAM3A	a disintegrin and metalloproteinase domain 3a (cyritestin 1)
ADAM3B	a disintegrin and metalloproteinase domain 3b (cyritestin 2)
ADAM4	a disintegrin and metalloproteinase domain 4
ADAM5	a disintegrin and metalloproteinase domain 5
ADAM6	a disintegrin and metalloproteinase domain  6
ADAM7	a disintegrin and metalloproteinase domain 7
ADAM8	a disintegrin and metalloproteinase domain 8
ADAM9	a disintegrin and metalloproteinase domain 9 (meltrin gamma)
ADAMTS1	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1
ADAMTS2	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2
ADAMTS3	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 3
ADAMTS4	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4
ADAMTS5	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)
ADAMTS6	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 6
ADAMTS7	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 7
ADAMTS8	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 8
ADAMTS9	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 9
ADAR	adenosine deaminase, RNA-specific
ADARB1	adenosine deaminase, RNA-specific, B1 (homolog of rat RED1)
ADARB2	adenosine deaminase, RNA-specific, B2 (homolog of rat BLUE)
ADAT1	adenosine deaminase, tRNA-specific 1
ADCP1	adenosine deaminase complexing protein 1
ADCY1	adenylate cyclase 1 (brain)
ADCY2	adenylate cyclase 2 (brain)
ADCY3	adenylate cyclase 3
ADCY4	adenylate cyclase 4
ADCY5	adenylate cyclase 5
ADCY6	adenylate cyclase 6
ADCY7	adenylate cyclase 7
ADCY8	adenylate cyclase 8 (brain)
ADCY9	adenylate cyclase 9
ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)
ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
ADD1	adducin 1 (alpha)
ADD2	adducin 2 (beta)
ADD3	adducin 3 (gamma)
ADFN	albinism-deafness syndrome
ADFP	adipose differentiation-related protein
ADH1	alcohol dehydrogenase 1 (class I), alpha polypeptide
ADH2	alcohol dehydrogenase 2 (class I), beta polypeptide
ADH3	alcohol dehydrogenase 3 (class I), gamma polypeptide
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
ADH5P1	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 1
ADH6	alcohol dehydrogenase 6 (class V)
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
ADK	adenosine kinase
ADM	adrenomedullin
ADORA1	adenosine A1 receptor
ADORA2A	adenosine A2a receptor
ADORA2B	adenosine A2b receptor
ADORA2BP	adenosine A2b receptor pseudogene
ADORA2L1	adenosine A2 receptor-like 1
