>2L type=golden_path_region; loc=2L:1..23513712; ID=2L; dbxref=GB:AE014134,GB:AE014134,REFSEQ:NT_033779; MD5=b6a98b7c676bdaa11ec9521ed15aff2b; length=23513712; release=r6.17; species=Dmel;
>2R type=golden_path_region; loc=2R:1..25286936; ID=2R; dbxref=GB:AE013599,GB:AE013599,REFSEQ:NT_033778; MD5=2ecce4ca1c0106bb7c63a78b93ab49ba; length=25286936; release=r6.17; species=Dmel;
>3L type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.17; species=Dmel;
>3R type=golden_path_region; loc=3R:1..32079331; ID=3R; dbxref=GB:AE014297,GB:AE014297,REFSEQ:NT_033777; MD5=420540d26d86fbf14185d2f2d68af9c4; length=32079331; release=r6.17; species=Dmel;
>4 type=golden_path_region; loc=4:1..1348131; ID=4; dbxref=GB:AE014135,GB:AE014135,REFSEQ:NC_004353; MD5=8dbdf26f38049dd9df4076b6d480ae61; length=1348131; release=r6.17; species=Dmel;
>X type=golden_path_region; loc=X:1..23542271; ID=X; dbxref=GB:AE014298,GB:AE014298,REFSEQ:NC_004354; MD5=f7228bbf9f8fa0af457bc2fb7e396e4d; length=23542271; release=r6.17; species=Dmel;
>Y type=golden_path_region; loc=Y:1..3667352; ID=Y; dbxref=GB:CP007106,GB:CP007106,REFSEQ:NC_024512; MD5=0938dd2253a423799e7938dc892f1c04; length=3667352; release=r6.17; species=Dmel;
>2Cen_mapped_Scaffold_10_D1684 type=golden_path_region; loc=2Cen_mapped_Scaffold_10_D1684:1..19956; ID=2Cen_mapped_Scaffold_10_D1684; dbxref=GB:CP007071,GB:CP007071,REFSEQ:NW_007931073; MD5=b71b59981d0bc7d367792f99638e8ff5; length=19956; release=r6.17; species=Dmel;
>2Cen_mapped_Scaffold_43_D1668 type=golden_path_region; loc=2Cen_mapped_Scaffold_43_D1668:1..44411; ID=2Cen_mapped_Scaffold_43_D1668; dbxref=GB:CP007072,GB:CP007072,REFSEQ:NW_007931074; MD5=8f5e867a2b263eb401acf5a10a1a8f19; length=44411; release=r6.17; species=Dmel;
>2R2_mapped_Scaffold_56_D1828 type=golden_path_region; loc=2R2_mapped_Scaffold_56_D1828:1..13157; ID=2R2_mapped_Scaffold_56_D1828; dbxref=GB:CP007073,GB:CP007073,REFSEQ:NW_007931075; MD5=5aedd39059ed537a31be2767e816855a; length=13157; release=r6.17; species=Dmel;
>3Cen_mapped_Scaffold_1_D1896_D1895 type=golden_path_region; loc=3Cen_mapped_Scaffold_1_D1896_D1895:1..76224; ID=3Cen_mapped_Scaffold_1_D1896_D1895; dbxref=GB:CP007074,GB:CP007074,REFSEQ:NW_007931076; MD5=0fb5afe34c21ed89368ff27056a9bc2c; length=76224; release=r6.17; species=Dmel;
